title,rank,score,daily_aud,total_aud,open_date,link,등급,시간,장르,국가,감독,0,review
스파이더맨: 브랜드 뉴 데이,1,7.33,2124592,5910553,2026-07-29,/movie/info/?movie_id=63091,12세이상,144.0,"판타지, 어드벤처, 액션",미국,데스틴 크리튼,7.33,"['하이틴의 겉옷을 벗고 근본으로 돌아간 성장', '큰 힘과 큰 책임이 서로를 따르지 못할 때에도 당신이 히어로라면', '도파민형 영웅이 가득한 세상에서 ‘선함’을 지켜낸 ‘강한’ 히어로', '역시 스파이더맨은 고통받을수록 강하고 재밌다', '캐릭터도 캐스트도 발맞춰 잘 자랐구나', '역대 가장 성숙한 스파이더맨의 탄생', '쑥 성장한 캐릭터, 따뜻하게 감싸는 드라마', '샘 레이미의 유산마저 물려받아 진화한 멜로드라마와 역동의 좋은 균형', '아마도 마블의 새로운 미래']"
오디세이,2,7.55,1871575,1872877,2026-08-05,/movie/info/?movie_id=62585,15세이상,172.0,"액션, 모험, 드라마",미국,크리스토퍼 놀란,7.55,"['그리스신화는 놀런을 만나길 오랫동안 기다려왔구나', '늘 해오던 걸 가장 잘 할 수 있는 방식으로', '죽음과 죄책감을 등에 업은 영웅의 서사', '좋으나 싫으나 미우나 고우나 크리스토퍼 놀런의 여름 블록버스터', '원전과 어긋나는 놀런의 속도, 이 어긋남을 적절히 조율하려는 음악', '야심가다운 변용과 뚝심의 산문시', '거대한 함선을 타고 신화와 영화 사이를 전속으로 항해하다', '놀런, 인간의 탈을 쓴 영화의 신', '어마어마한 게 꼭 좋은 건 아니지만 적어도, 어설프게 어마어마한 것들을 가려내는 역할은 한다', 'VFX와 핍진성 사이에서 펼쳐진 신화적 풍경', '귀환이라는 테마의 원형, <오디세이아>의 <오펜하이머>적 각색']"
사랑의 하츄핑: 고래보석의 전설,3,7.0,407067,433565,2026-08-05,/movie/info/?movie_id=63075,전체,105.0,애니메이션,한국,김수훈,7.0,"['시네마 키드는 어떻게 육성되는가, 이 영화를 보고 자랄 어린이들에게']"
호프,4,6.83,219132,4393518,2026-07-15,/movie/info/?movie_id=62480,15세이상,156.0,"액션, 스릴러, SF",한국,나홍진,6.83,"['후진 없는 희망의 트럭', '쾌감의 짝인 공허까지도 납득시킨다', '끌렸다, 즐겼다, 낚였다', '순식간에 펼쳐지는 아수라, 서스펜스, 페이소스', 'Grosse Fatigue: 하루가 참 길다', '공백을 만들고, 응시하고, 추격한다 계속!']"
미니언즈 & 몬스터즈,5,6.5,36881,763404,2026-07-15,/movie/info/?movie_id=63032,전체,89.0,애니메이션,미국,피에르 코팽,6.5,"['직업 체험도 좋지만 역시 본업 할 때가 최고', '천사들의 도시로 간 헨리 제임스, 이야기 대신 영화사를 쓰다']"
다윗,6,5.0,22913,289372,2026-07-10,/movie/info/?movie_id=63108,전체,109.0,애니메이션,미국,필 커닝햄 브렌트 도스,5.0,['검 대신 악기를 드는 성경 뮤지컬']
어떻게 해야 했을까?,7,6.5,22558,49713,2026-07-29,/movie/info/?movie_id=63282,12세이상,101.0,다큐멘터리,일본,후지노 토모아키,6.5,"['‘무엇을 찍었나’로 시작되는 고통. ‘어디서 끊을까’로 확장되는 고뇌', '미해결 과제는 어떻게 영화가 되는가', '쓰라린 쇠락과 비극적 미스터리의 기록', '할 수 있는 유일한 일이 기록이었던 삶에 대하여']"
토이 스토리 5,8,6.83,19707,2938990,2026-06-17,/movie/info/?movie_id=62799,전체,101.0,애니메이션,미국,앤드류 스탠튼 맥케나 해리스,6.83,"['그 무한한 애정을 어찌 사랑하지 않을 수 있을까', '뭉클하고 눈물겨우나 이젠 ‘레거시 답습, 저 너머로!’를 외쳐야', '어쩜 나만 이토록 사랑해주니, 이 멸망의 세상에서', '환상적인 기병대, 비행 시퀀스만으로도 만족!', '훈계도 걱정도 잔소리도 살갑네', '시대를 호명하며 함께 조화롭게']"
모아나,9,5.67,13996,1020487,2026-07-08,/movie/info/?movie_id=62818,전체,115.0,"어드벤처, 액션",미국,토마스 케일,5.67,"['붕어빵이 맛보다 비주얼을 뽐내면', '디즈니 실사영화 논란을 잠재울 충실한 구현력', '노래는 여전히 좋으나, 애니의 재연 이상은 아니다']"
명탐정 코난: 하이웨이의 타천사,10,0.0,8828,8828,2026-08-12,/movie/info/?movie_id=63245,12세이상,109.0,애니메이션,일본,하스이 타카히로,6.0,"['스피드에 깔린 미스터리', '나도 따라 덜컹거리는 곡선의 박진감. 롤러코스터를 탄 것 같지 않아, 소년?', '추리를 접고 직진하여 원점 회귀']"
