순번,순위,전일대비_순위증감,신규진입여부,movieCd,영화제목,개봉일,매출액,당일매출비율,전일대비_매출증감,전일대비_매출액_증감비율,누적매출액,당일관객수,전일대비_관객증감,전일대비_관객증감비율,누적관객수,당일스크린수,showCnt,targetDt
1,1,0,OLD,20233219,호프,2026-07-15,1057559480,59.5,-1943517630,-64.8,38318463580,103403,-182467,-63.8,3519073,2096,7272,2026-07-27
2,2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,202780900,11.4,-275022600,-57.6,5949070580,21401,-27044,-55.8,584363,774,1856,2026-07-27
3,3,0,OLD,20259946,모아나,2026-07-08,145849290,8.2,-200917990,-57.9,9905629670,15049,-19753,-56.8,924284,704,1403,2026-07-27
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,112255100,6.3,-116820500,-51.0,29335606860,11521,-10966,-48.8,2848640,522,854,2026-07-27
5,5,1,OLD,20242402,눈동자,2026-06-24,68698000,3.9,-69954370,-50.5,15664161540,6698,-6376,-48.8,1518312,545,885,2026-07-27
6,6,-1,OLD,20262902,다윗,2026-07-10,47140850,2.7,-153002490,-76.4,2204854030,5037,-15778,-75.8,225388,307,379,2026-07-27
7,7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,33524130,1.9,-23802690,-41.5,252320440,3741,-2501,-40.1,28145,337,431,2026-07-27
8,8,0,NEW,20255484,오케이 마담2,2026-08-12,26952000,1.5,26952000,100.0,29553000,2952,2952,100.0,3241,12,15,2026-07-27
9,9,0,OLD,20252402,군체,2026-05-21,8301600,0.5,-3457900,-29.4,62699752740,812,-319,-28.2,5950776,126,143,2026-07-27
10,10,-2,OLD,20263530,마티 슈프림,2026-07-01,7342100,0.4,-17421450,-70.4,1364544180,704,-1173,-62.5,126011,53,61,2026-07-27
1,1,0,OLD,20233219,호프,2026-07-15,1023976630,58.5,-33582850,-3.2,39342440210,100154,-3249,-3.1,3619227,2108,7258,2026-07-28
2,2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,204471520,11.7,1690620,0.8,6153542100,22069,668,3.1,606432,806,1886,2026-07-28
3,3,0,OLD,20259946,모아나,2026-07-08,148384140,8.5,2534850,1.7,10054013810,15559,510,3.4,939843,724,1441,2026-07-28
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,119485840,6.8,7230740,6.4,29455092700,12498,977,8.5,2861138,536,884,2026-07-28
5,5,0,OLD,20242402,눈동자,2026-06-24,67542250,3.9,-1155750,-1.7,15731703790,6534,-164,-2.4,1524846,525,881,2026-07-28
6,6,0,OLD,20262902,다윗,2026-07-10,49701550,2.8,2560700,5.4,2254555580,5472,435,8.6,230860,315,388,2026-07-28
7,7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,28063810,1.6,-5460320,-16.3,280384250,3166,-575,-15.4,31311,323,414,2026-07-28
8,8,0,NEW,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,17586000,1.0,17586000,100.0,17586000,1254,1254,100.0,1254,3,5,2026-07-28
9,9,0,OLD,20252402,군체,2026-05-21,9713100,0.6,1411500,17.0,62709465840,967,155,19.1,5951743,128,149,2026-07-28
